original_filename,new_filename
IMG_0001.jpg,2026-08-01-doubledeuce-loadin-01.jpg
IMG_0002.jpg,2026-08-01-doubledeuce-loadin-02.jpg
IMG_0003.jpg,2026-08-01-doubledeuce-loadin-03.jpg
IMG_0004.jpg,2026-08-01-doubledeuce-loadin-04.jpg
IMG_0005.jpg,2026-08-02-doubledeuce-stage-01.jpg
IMG_0006.jpg,2026-08-02-doubledeuce-stage-02.jpg
IMG_0007.jpg,2026-08-02-doubledeuce-stage-03.jpg
IMG_0008.jpg,2026-08-03-doubledeuce-soundcheck-01.jpg
IMG_0009.jpg,2026-08-03-doubledeuce-soundcheck-02.jpg
IMG_0010.jpg,2026-08-03-doubledeuce-soundcheck-03.jpg
IMG_0011.jpg,2026-08-04-doubledeuce-bar-install-01.jpg
IMG_0012.jpg,2026-08-04-doubledeuce-bar-install-02.jpg
IMG_0013.jpg,2026-08-04-doubledeuce-bar-install-03.jpg
IMG_0014.jpg,2026-08-05-doubledeuce-signage-01.jpg
IMG_0015.jpg,2026-08-05-doubledeuce-signage-02.jpg
IMG_0016.jpg,2026-08-05-doubledeuce-signage-03.jpg
IMG_0017.jpg,2026-08-06-doubledeuce-greenroom-01.jpg
IMG_0018.jpg,2026-08-06-doubledeuce-greenroom-02.jpg
IMG_0019.jpg,2026-08-06-doubledeuce-greenroom-03.jpg
IMG_0020.jpg,2026-08-07-doubledeuce-marquee-01.jpg
IMG_0021.jpg,2026-08-07-doubledeuce-marquee-02.jpg
IMG_0022.jpg,2026-08-07-doubledeuce-marquee-03.jpg
IMG_0023.jpg,2026-08-07-doubledeuce-marquee-04.jpg
IMG_0024.jpg,2026-08-07-doubledeuce-marquee-05.jpg
IMG_0025.jpg,2026-08-07-doubledeuce-marquee-06.jpg
