original_filename,new_filename
PRESS_01.jpg,2026-09-15-openingnight-press-01.jpg
PRESS_02.jpg,2026-09-15-openingnight-press-02.jpg
PRESS_03.jpg,2026-09-15-openingnight-press-03.jpg
PRESS_04.jpg,2026-09-15-openingnight-press-04.jpg
PRESS_05.jpg,2026-09-15-openingnight-press-05.jpg
PRESS_06.jpg,2026-09-15-openingnight-press-06.jpg
PRESS_07.jpg,2026-09-15-openingnight-press-07.jpg
PRESS_08.jpg,2026-09-15-openingnight-press-08.jpg
PRESS_09.jpg,2026-09-15-openingnight-press-09.jpg
PRESS_10.jpg,2026-09-15-openingnight-press-10.jpg
PRESS_11.jpg,2026-09-15-openingnight-press-11.jpg
PRESS_12.jpg,2026-09-15-openingnight-press-12.jpg
PRESS_13.jpg,2026-09-15-openingnight-press-13.jpg
PRESS_14.jpg,2026-09-15-openingnight-press-14.jpg
PRESS_15.jpg,2026-09-15-openingnight-press-15.jpg
PRESS_16.jpg,2026-09-15-openingnight-press-16.jpg
PRESS_17.jpg,2026-09-15-openingnight-press-17.jpg
PRESS_18.jpg,2026-09-15-openingnight-press-18.jpg
PRESS_19.jpg,2026-09-15-openingnight-press-19.jpg
PRESS_20.jpg,2026-09-15-openingnight-press-20.jpg
